Razao Social,Descricao,Data,vendas
757 HAVAN,SBRUB759,2024-01-02,28350.0
757 HAVAN,SBRP1030,2024-01-02,67200.0
757 HAVAN,SBRP145,2024-01-02,13608.0
757 HAVAN,SBRP2040,2024-01-02,35700.0
3830 DELTA MATERIAIS DE CONSTRUCAO,ALT0.2,2024-01-03,136.65
3830 DELTA MATERIAIS DE CONSTRUCAO,SBRU750,2024-01-03,270.58
4466 VILLAGE - COTIA,LTE-2017V,2024-01-03,571.09
4466 VILLAGE - COTIA,BRA3.0,2024-01-03,308.76
4466 VILLAGE - COTIA,SBRUB859,2024-01-03,703.5
4466 VILLAGE - COTIA,LTE-3218V,2024-01-03,380.89
2346 CONTABILISTA PAPELARIA,SBRP150,2024-01-03,2009.7
3830 DELTA MATERIAIS DE CONSTRUCAO,SHD-8100K,2024-01-03,560.83
2346 CONTABILISTA PAPELARIA,SBRP2440,2024-01-03,1459.21
2346 CONTABILISTA PAPELARIA,SBRP1040,2024-01-03,906.44
2346 CONTABILISTA PAPELARIA,SBRU859,2024-01-03,333.65
2346 CONTABILISTA PAPELARIA,SBRU750,2024-01-03,247.9
2346 CONTABILISTA PAPELARIA,SBRP415,2024-01-03,534.45
2346 CONTABILISTA PAPELARIA,SBRP1650,2024-01-03,1336.36
3830 DELTA MATERIAIS DE CONSTRUCAO,LTE-3218V,2024-01-03,307.36
3830 DELTA MATERIAIS DE CONSTRUCAO,"PB60X25X1,5 UV",2024-01-03,180.15
2346 CONTABILISTA PAPELARIA,SBRP110,2024-01-03,419.96
3505 GEFER FERRAGENS & ACESSORIOS,STSB-30B,2024-01-03,254.58
3505 GEFER FERRAGENS & ACESSORIOS,STSB-20B,2024-01-03,155.28
3505 GEFER FERRAGENS & ACESSORIOS,MFP-50,2024-01-03,252.92
3505 GEFER FERRAGENS & ACESSORIOS,MFP-40,2024-01-03,438.87
3505 GEFER FERRAGENS & ACESSORIOS,MFP-40B,2024-01-03,438.87
3505 GEFER FERRAGENS & ACESSORIOS,MFP-30B,2024-01-03,656.89
3830 DELTA MATERIAIS DE CONSTRUCAO,"PB60X20X1,5 UV",2024-01-03,152.15
3505 GEFER FERRAGENS & ACESSORIOS,MFP-25B,2024-01-03,276.81
3505 GEFER FERRAGENS & ACESSORIOS,MFL-27,2024-01-03,200.9
